,edge,edge_text,variables,variables_text
227,(warns/Pd.sor.|f--3s-/en france/Cp.s/en russia/Cp.s/en (that/T/en ((can/Mm/en justify/P.so.-i-----/en) nothing/Cc.s/en (on/Br.ma/en assault/Cc.s/en (’s/Bp.am/en syria/Cp.s/en aleppo/Cp.s/en))))),France warns Russia that ‘nothing can justify’ assault on Syria’s Aleppo,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia'}]"
228,(warns/Pd.sor.|f--3s-/en hamas/Cp.s/en italy/Cp.s/en ((not/Mn/en (to/Mi/en embark/P.x.-i-----/en)) (on/T/en (against/Br.ma/en (libyan/Ma/en crusade/Cc.s/en) isis/Cp.s/en)))),Hamas warns Italy not to embark on Libyan 'Crusade' against Isis,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['italy/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Hamas', 'TARGET': 'Italy'}]"
229,(warns/Pd.sor.|f--3s-/en imf/Cp.s/en ukraine/Cp.s/en ((will/Mm/en halt/P.sox.-i-----/en) it/Ci/en (($/M/en 40bn/M#/en) bailout/Cc.s/en) (unless/T/en (stops/Pd.s.|f--3s-/en corruption/Cc.s/en)))),IMF warns Ukraine it will halt $40bn bailout unless corruption stops,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['imf/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'IMF', 'TARGET': 'Ukraine'}]"
230,(warns/Pd.sor.|f--3s-/en india/Cp.s/en kashmiris/Cp.s/en ((to/Mi/en prepare/P.x.-i-----/en) (for/T/en (nuclear/Ma/en war/Cc.s/en)))),India warns Kashmiris to prepare for nuclear war,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['kashmiris/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'India', 'TARGET': 'Kashmiris'}]"
231,(warns/Pd.sor.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en ((to/Mi/en stop/P.o.-i-----/en) attacks/Cc.p/en)),India warns Pakistan to stop attacks,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'India', 'TARGET': 'Pakistan'}]"
232,(warns/Pd.sor.|f--3s-/en israel/Cp.s/en brazil/Cp.s/en ((to/Mi/en accept/P.o.-i-----/en) (its/Mp/en (+/B.am/. settler/Cc.s/en ambassador/Cc.s/en)))),Israel warns Brazil to accept its settler ambassador,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['brazil/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Brazil'}]"
233,(warns/Pd.sor.|f--3s-/en israel/Cp.s/en lebanon/Cp.s/en ((to/Mi/en curb/P.o.-i-----/en) (for/Br.ma/en (+/B.am/. hezbollah/Cp.s/en reprisals/Cc.p/en) (+/B.am/. air/Cc.s/en strike/Cc.s/en)))),Israel warns Lebanon to curb Hezbollah reprisals for air strike,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Lebanon'}]"
234,(warns/Pd.sor.|f--3s-/en israel/Cp.s/en moscow/Cp.s/en (that/T/en ((will/Mm/en attack/P.sox.-i-----/en) it/Ci/en (of/Br.ma/en shipments/Cc.p/en (russian/Ma/en weapons/Cc.p/en)) (to/T/en syria/Cp.s/en)))),Israel warns Moscow that it will attack shipments of Russian weapons to Syria,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['moscow/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Moscow'}]"
235,"(warns/Pd.sor.|f--3s-/en israel/Cp.s/en un/Cp.s/en (has/P.so.|f--3s-/en hezbollah/Cp.s/en (120,000/M#/en missiles/Cc.p/en)))","Israel warns UN: Hezbollah has 120,000 missiles","[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'UN'}]"
236,(warns/Pd.sor.|f--3s-/en italy/Cp.s/en egypt/Cp.s/en ((to/Mi/en speed/P.o.-i-----/en) (of/Br.ma/en pace/Cc.s/en investigation/Cc.s/en))),Italy warns Egypt to speed pace of investigation,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['italy/Cp.s/en'], 'TARGET': ['egypt/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Italy', 'TARGET': 'Egypt'}]"
237,(warns/Pd.sor.|f--3s-/en kerry/Cp.s/en russia/Cp.s/en (that/T/en ((must/Mm/en allow/P.sox.-i-----/en) assad/Cp.s/en aid/Cc.s/en (into/T/en aleppo/Cp.s/en)))),Kerry warns Russia that Assad must allow aid into Aleppo,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['kerry/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Kerry', 'TARGET': 'Russia'}]"
238,(warns/Pd.sor.|f--3s-/en nato/Cp.s/en russia/Cp.s/en ((not/Mn/en (to/Mi/en take/P.o?.-i-----/en)) (any/Md/en action/Cc.s/en) (or/J/en ((can/Mm/en escalate/P.so.-i-----/en) that/C/en tension/Cc.s/en) (create/P!.o.-i-----/en misunderstanding/Cc.s/en)))),NATO warns Russia not to take any action that can escalate tension or create misunderstanding,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['nato/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'NATO', 'TARGET': 'Russia'}]"
239,(warns/Pd.sor.|f--3s-/en obama/Cp.s/en china/Cp.s/en (backs/P.o.|f--3s-/en philippines/Cp.p/en)),"Obama warns China, backs Philippines","[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Obama', 'TARGET': 'China'}]"
240,(warns/Pd.sor.|f--3s-/en obama/Cp.s/en russia/Cp.s/en ((there/Me/en (will/Mm/en be/P.c.-i-----/en)) (for/Br.ma/en costs/Cc.p/en (in/Br.ma/en (any/Md/en (military/Ma/en intervention/Cc.s/en)) ukraine/Cp.s/en)))),Obama warns Russia “there will be costs” for any military intervention in Ukraine,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Obama', 'TARGET': 'Russia'}]"
241,(warns/Pd.sor.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (says/P.r.|f--3s-/en ((if/M/en needed/Pd.r.<pf----/en) ((can/Mm/en use/P.o.-i-----/en) (nuclear/Ma/en weapons/Cc.p/en))))),"Pakistan warns India, says can use nuclear weapons if needed","[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
242,(warns/Pd.sor.|f--3s-/en pakistan/Cp.s/en taliban/Cp.s/en ((to/Mi/en leave/P.r.-i-----/en) ((will/Mm/en (be/Mv.-i-----/en forced/P.p.<pf----/en)) (all/Md/en leaders/Cc.p/en)))),Pakistan warns Taliban 'all leaders will be forced to leave,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['taliban/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Pakistan', 'TARGET': 'Taliban'}]"
243,(warns/Pd.sor.|f--3s-/en poland/Cp.s/en brussels/Cp.s/en ((will/Mm/en destroy/P.sox.-i-----/en) it/Ci/en (the/Md/en eu/Cp.s/en) (if/T/en (tries/Pd.sr.|f--3s-/en it/Ci/en (leaving/P.r.|pg----/en (for/T/en ((to/Mi/en punish/P.o.-i-----/en) britain/Cp.s/en))))))),Poland warns Brussels it will Destroy the EU if it tries to punish Britain for leaving,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['poland/Cp.s/en'], 'TARGET': ['brussels/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Poland', 'TARGET': 'Brussels'}]"
244,(warns/Pd.sor.|f--3s-/en poland/Cp.s/en russia/Cp.s/en (or/J/en ((to/Mi/en change/P.o.-i-----/en) (on/Br.ma/en tack/Cp.s/en ukraine/Cp.s/en)) (face/P!.o.-i-----/en (+/B.am/. further/Cp.s/en sanctions/Cc.p/en)))),Poland Warns Russia to Change Tack on Ukraine or Face Further Sanctions,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['poland/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Poland', 'TARGET': 'Russia'}]"
245,(warns/Pd.sor.|f--3s-/en putin/Cp.s/en israel/Cp.s/en ((do/Mv.-i-----/en (n't/Mn/en send/P.ox.-i-----/en)) (deadly/Ma/en weapons/Cc.p/en) (to/T/en ukraine/Cp.s/en))),Putin warns Israel: Don't send deadly weapons to Ukraine,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Putin', 'TARGET': 'Israel'}]"
246,(warns/Pd.sor.|f--3s-/en putin/Cp.s/en israel/Cp.s/en ((too/M/en (would/Mm/en provoke/P.?ox.-i-----/en)) (selling/Pd.ox.|pg----/en arms/Cc.p/en (to/T/en ukraine/Cp.s/en)) (russian/Ma/en (s-300/Ma/en sales/Cc.p/en)) (to/T/en syria/Cp.s/en))),Putin warns Israel: Selling arms to Ukraine would provoke Russian S-300 sales to Syria too,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Putin', 'TARGET': 'Israel'}]"
247,(warns/Pd.sor.|f--3s-/en russia/Cp.s/en nato/Cp.s/en ((not/Mn/en (to/Mi/en offer/P.oi.-i-----/en)) membership/Cc.s/en (to/T/en ukraine/Cp.s/en))),Russia warns NATO not to offer membership to Ukraine,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['nato/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'NATO'}]"
248,(warns/Pd.sor.|f--3s-/en russia/Cp.s/en norway/Cp.s/en (that/T/en ((will/Mm/en hurt/P.so.-i-----/en) (hosting/Mv.|pg----/en (+/B.am/. us/Cp.s/en marines/Cp.p/en)) ties/Cc.p/en))),Russia warns Norway that hosting US Marines will hurt ties,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['norway/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'Norway'}]"
249,(warns/Pd.sor.|f--3s-/en syria/Cp.s/en israel/Cp.s/en (after/T/en (hit/P.so.<f-----/en rockets/Cc.p/en (+/B.am/. air/Cc.s/en base/Cc.s/en)))),Syria warns Israel after rockets hit air base,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Syria', 'TARGET': 'Israel'}]"
250,(warns/Pd.sor.|f--3s-/en uae/Cp.s/en qatar/Cp.s/en ((to/Mi/en accept/P.o.-i-----/en) (or/J/en demands/Cc.p/en (+/B.am/. face/Cm/en divorce/Cc.s/en)))),UAE warns Qatar to accept demands or face 'divorce,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['uae/Cp.s/en'], 'TARGET': ['qatar/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'UAE', 'TARGET': 'Qatar'}]"
251,(warns/Pd.sor.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (that/T/en ((will/Mm/en lead/P.sx.-i-----/en) (+/B.am/. crimea/Cp.s/en intervention/Cc.s/en) (to/T/en war/Cc.s/en)))),Ukraine warns Russia that Crimea intervention will lead to war,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Ukraine', 'TARGET': 'Russia'}]"
252,(warns/Pd.sor.|f--3s-/en un/Cp.s/en lebanon/Cp.s/en ((to/Mi/en stay/P.x.-i-----/en) (out/T/en (+/B.mm/. of/C/en (+/B.am/. syria/Cp.s/en conflict/Cc.s/en))))),UN warns Lebanon to stay out of Syria conflict,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['un/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'UN', 'TARGET': 'Lebanon'}]"
253,(warns/Pd.sorx.|f--3s-/en eu/Cp.s/en russia/Cp.s/en (for/Br.ma/en ready/Ca/en (necessary/Ma/en steps/Cc.p/en)) (if/T/en (breached/Pd.s.<f-----/en (+/B.am/. ukraine/Cp.s/en pact/Cc.s/en)))),EU warns Russia: Ready for 'necessary steps' if Ukraine pact breached,"[{'PRED': ['warns/Pd.sorx.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['breached/Pd.s.<f-----/en'], [['+/B.am/.'], ['ukraine/Cp.s/en'], ['pact/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'EU', 'TARGET': 'Russia', 'TOPIC': 'Ukraine pact breached'}]"
254,(warns/Pd.sox.|f--3s-/en carter/Cp.s/en china/Cp.s/en (against/T/en (building/P.o.|pg----/en (of/Br.ma/en (+/B.am/. great/Cp.s/en wall/Cp.s/en) (+/B.am/. self/Cc.s/en isolation/Cc.s/en))))),Carter warns China against building 'Great Wall of self-isolation,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['carter/Cp.s/en'], 'TARGET': ['china/Cp.s/en'], 'TOPIC': [['building/P.o.|pg----/en'], [['of/Br.ma/en'], [['+/B.am/.'], ['great/Cp.s/en'], ['wall/Cp.s/en']], [['+/B.am/.'], ['self/Cc.s/en'], ['isolation/Cc.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Carter', 'TARGET': 'China', 'TOPIC': ""building 'Great Wall of self-isolation""}]"
255,(warns/Pd.sox.|f--3s-/en china/Cp.s/en india/Cp.s/en (against/T/en (deploying/P.o.|pg----/en (in/Br.ma/en (+/B.am/. brahmos/Cp.s/en (+/B.am/. cruise/Cc.s/en missile/Cc.s/en)) arunachal/Cp.s/en)))),China warns India against deploying BrahMos cruise missile in Arunachal,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['deploying/P.o.|pg----/en'], [['in/Br.ma/en'], [['+/B.am/.'], ['brahmos/Cp.s/en'], [['+/B.am/.'], ['cruise/Cc.s/en'], ['missile/Cc.s/en']]], ['arunachal/Cp.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'India', 'TOPIC': 'deploying BrahMos cruise missile in Arunachal'}]"
256,(warns/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (over/T/en ((abroad/M/en expanding/P.o.|pg----/en) (military/Ma/en role/Cc.s/en)))),China warns Japan over expanding military role abroad,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [[['abroad/M/en'], ['expanding/P.o.|pg----/en']], [['military/Ma/en'], ['role/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Japan', 'TOPIC': 'expanding military role abroad'}]"
257,(warns/Pd.sox.|f--3s-/en china/Cp.s/en soros/Cp.s/en (against/T/en (declaring/P.ox.|pg----/en war/Cc.s/en (on/T/en (its/Mp/en currency/Cc.s/en))))),China warns Soros against ‘declaring war on its currency,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['soros/Cp.s/en'], 'TOPIC': [['declaring/P.ox.|pg----/en'], ['war/Cc.s/en'], [['on/T/en'], [['its/Mp/en'], ['currency/Cc.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Soros', 'TOPIC': 'declaring war on its currency'}]"
258,(warns/Pd.sox.|f--3s-/en france/Cp.s/en russia/Cp.s/en (against/T/en (meddling/P.x.|pg----/en (in/T/en election/Cc.s/en)))),France warns Russia against meddling in election,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['meddling/P.x.|pg----/en'], [['in/T/en'], ['election/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia', 'TOPIC': 'meddling in election'}]"
259,(warns/Pd.sox.|f--3s-/en germany/Cp.s/en uk/Cp.s/en (over/T/en (leaving/P.o.|pg----/en eu/Cp.s/en))),Germany warns UK over leaving EU,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['uk/Cp.s/en'], 'TOPIC': [['leaving/P.o.|pg----/en'], ['eu/Cp.s/en']]}]","[{'PRED': 'warns', 'SOURCE': 'Germany', 'TARGET': 'UK', 'TOPIC': 'leaving EU'}]"
260,(warns/Pd.sox.|f--3s-/en iran/Cp.s/en bahrain/Cp.s/en (over/T/en (revoking/P.o.|pg----/en ('s/Bp.am/en (+/B.am/. shia/Cp.s/en cleric/Cc.s/en) citizenship/Cc.s/en)))),Iran warns Bahrain over revoking Shia cleric's citizenship,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['bahrain/Cp.s/en'], 'TOPIC': [['revoking/P.o.|pg----/en'], [[""'s/Bp.am/en""], [['+/B.am/.'], ['shia/Cp.s/en'], ['cleric/Cc.s/en']], ['citizenship/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Iran', 'TARGET': 'Bahrain', 'TOPIC': ""revoking Shia cleric's citizenship""}]"
261,(warns/Pd.sox.|f--3s-/en israel/Cp.s/en arabs/Cp.p/en (against/T/en (bashing/P.ox.|pg----/en it/Ci/en (at/T/en (+/B.am/. u%2en%2e/Cm/en (nuclear/Ma/en meeting/Cc.s/en)))))),Israel warns Arabs against 'bashing' it at U.N. nuclear meeting,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['arabs/Cp.p/en'], 'TOPIC': [['bashing/P.ox.|pg----/en'], ['it/Ci/en'], [['at/T/en'], [['+/B.am/.'], ['u%2en%2e/Cm/en'], [['nuclear/Ma/en'], ['meeting/Cc.s/en']]]]]}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Arabs', 'TOPIC': ""bashing' it at U.N. nuclear meeting""}]"
262,(warns/Pd.sox.|f--3s-/en kerry/Cp.s/en afghanistan/Cp.s/en (as/T/en (rally/Pd.sx.|f-----/en thousands/Cc.p/en (in/T/en (of/Br.ma/en support/Cc.s/en abdullah/Cp.s/en))))),Kerry warns Afghanistan as thousands rally in support of Abdullah,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['kerry/Cp.s/en'], 'TARGET': ['afghanistan/Cp.s/en'], 'TOPIC': [['rally/Pd.sx.|f-----/en'], ['thousands/Cc.p/en'], [['in/T/en'], [['of/Br.ma/en'], ['support/Cc.s/en'], ['abdullah/Cp.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Kerry', 'TARGET': 'Afghanistan', 'TOPIC': 'thousands rally in support of Abdullah'}]"
263,(warns/Pd.sox.|f--3s-/en kremlin/Cp.s/en ukraine/Cp.s/en (against/T/en (joining/P.o.|pg----/en nato/Cp.s/en))),Kremlin warns Ukraine against joining NATO,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['kremlin/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en'], 'TOPIC': [['joining/P.o.|pg----/en'], ['nato/Cp.s/en']]}]","[{'PRED': 'warns', 'SOURCE': 'Kremlin', 'TARGET': 'Ukraine', 'TOPIC': 'joining NATO'}]"
264,(warns/Pd.sox.|f--3s-/en obama/Cp.s/en china/Cp.s/en (against/T/en (throwing/P.ox.|pg----/en elbows/Cc.p/en (in/T/en (+/B.am/. sea/Cc.s/en dispute/Cc.s/en))))),Obama warns China against 'throwing elbows' in sea dispute,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['china/Cp.s/en'], 'TOPIC': [['throwing/P.ox.|pg----/en'], ['elbows/Cc.p/en'], [['in/T/en'], [['+/B.am/.'], ['sea/Cc.s/en'], ['dispute/Cc.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Obama', 'TARGET': 'China', 'TOPIC': ""throwing elbows' in sea dispute""}]"
265,(warns/Pd.sox.|f--3s-/en obama/Cp.s/en nato/Cp.s/en (about/T/en (cutting/P.o.|pg----/en (+/B.am/. defense/Cc.s/en spending/Cc.s/en)))),Obama warns NATO about cutting defense spending,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['nato/Cp.s/en'], 'TOPIC': [['cutting/P.o.|pg----/en'], [['+/B.am/.'], ['defense/Cc.s/en'], ['spending/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Obama', 'TARGET': 'NATO', 'TOPIC': 'cutting defense spending'}]"
266,(warns/Pd.sox.|f--3s-/en obama/Cp.s/en putin/Cp.s/en (on/T/en (intervening/P.x.|pg----/en (in/T/en ('s/Bp.am/en syria/Cp.s/en (civil/Ma/en war/Cc.s/en)))))),Obama warns Putin on intervening in Syria's civil war,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['putin/Cp.s/en'], 'TOPIC': [['intervening/P.x.|pg----/en'], [['in/T/en'], [[""'s/Bp.am/en""], ['syria/Cp.s/en'], [['civil/Ma/en'], ['war/Cc.s/en']]]]]}]","[{'PRED': 'warns', 'SOURCE': 'Obama', 'TARGET': 'Putin', 'TOPIC': ""intervening in Syria's civil war""}]"
267,(warns/Pd.sox.|f--3s-/en putin/Cp.s/en israel/Cp.s/en (off/T/en (targeting/P.ox.|pg----/en (iranian/Ma/en targets/Cc.p/en) (in/T/en syria/Cp.s/en)))),Putin warns Israel off targeting Iranian targets in Syria,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['targeting/P.ox.|pg----/en'], [['iranian/Ma/en'], ['targets/Cc.p/en']], [['in/T/en'], ['syria/Cp.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Putin', 'TARGET': 'Israel', 'TOPIC': 'targeting Iranian targets in Syria'}]"
268,(warns/Pd.sox.|f--3s-/en putin/Cp.s/en kiev/Cp.s/en (against/T/en (defaulting/P.x.|pg----/en (on/T/en (+/B.am/. gas/Cc.s/en debts/Cc.p/en))))),Putin warns Kiev against defaulting on gas debts,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['kiev/Cp.s/en'], 'TOPIC': [['defaulting/P.x.|pg----/en'], [['on/T/en'], [['+/B.am/.'], ['gas/Cc.s/en'], ['debts/Cc.p/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Putin', 'TARGET': 'Kiev', 'TOPIC': 'defaulting on gas debts'}]"
269,(warns/Pd.sox.|f--3s-/en putin/Cp.s/en ukraine/Cp.s/en (against/T/en (implementing/P.o.|pg----/en (+/B.am/. eu/Cp.s/en deal/Cc.s/en)))),Putin warns Ukraine against implementing EU deal,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en'], 'TOPIC': [['implementing/P.o.|pg----/en'], [['+/B.am/.'], ['eu/Cp.s/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Putin', 'TARGET': 'Ukraine', 'TOPIC': 'implementing EU deal'}]"
270,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en finland/Cp.s/en (against/T/en (joining/P.o.|pg----/en nato/Cp.s/en))),Russia warns Finland against joining NATO,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['finland/Cp.s/en'], 'TOPIC': [['joining/P.o.|pg----/en'], ['nato/Cp.s/en']]}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'Finland', 'TOPIC': 'joining NATO'}]"
271,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en uk/Cp.s/en (against/T/en (arming/P.o.|pg----/en (syrian/Ma/en rebels/Cc.p/en)))),Russia warns UK against arming Syrian rebels,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['uk/Cp.s/en'], 'TOPIC': [['arming/P.o.|pg----/en'], [['syrian/Ma/en'], ['rebels/Cc.p/en']]]}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'UK', 'TOPIC': 'arming Syrian rebels'}]"
272,(warns/Pd.sox.|f--3s-/en xi/Cp.s/en obama/Cp.s/en (against/T/en (threatening/P.o.|pg----/en (%26/J/en (’s/Bp.am/en china/Cp.s/en sovereignty/Cc.s/en) (national/Ma/en interests/Cc.p/en))))),Xi warns Obama against threatening China’s sovereignty & national interests,"[{'PRED': ['warns/Pd.sox.|f--3s-/en'], 'SOURCE': ['xi/Cp.s/en'], 'TARGET': ['obama/Cp.s/en'], 'TOPIC': [['threatening/P.o.|pg----/en'], [['%26/J/en'], [['’s/Bp.am/en'], ['china/Cp.s/en'], ['sovereignty/Cc.s/en']], [['national/Ma/en'], ['interests/Cc.p/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Xi', 'TARGET': 'Obama', 'TOPIC': 'threatening China’s sovereignty & national interests'}]"
